Population;Cycle;Group;Hatch_Date;Data_Date;Age_Days;Indv_Weight;Mean_Length;Length StdDev;Length CoeffVar;Min Length;Max Length;Mean_Width;Width StdDev;Width CoeffVar;Min Width;Max Width;Mean_Area;Area StdDev;Area CoeffVar;Mean_L/W Ratio;L/W Ratio StdDev;L/W Ratio CoeffVar;Min L/W Ratio;Max L/W Ratio;Mean_Circularity;Min Circularity;Max Circularity;Greyness_I-Mean;Instar;Note;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-09;17;0.226;21;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-13;21;0.204;23;;;;;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-13;21;0.201;21;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-13;21;0.191;19.8;;;;;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-13;21;0.204;24;;;;;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-13;21;0.198;23;;;;;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-13;21;0.18;20;;;;;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-13;21;0.197;23.5;;;;;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-13;21;0.19;23;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-13;21;0.201;24;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-15;23;0.146;15;;;;;5.5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-15;23;0.152;17;;;;;5.3;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-15;23;0.143;18;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-15;23;0.129;18;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-15;23;0.121;17.6;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-15;23;0.139;16.2;;;;;4.9;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-15;23;0.139;21;;;;;4.4;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-15;23;0.149;17.5;;;;;5.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-15;23;0.158;16;;;;;5.7;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-17;25;0.15;19;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-17;25;0.141;17.5;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-17;25;0.143;18;;;;;5.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-17;25;0.14;19.5;;;;;4.8;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-17;25;0.142;18.5;;;;;5.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-17;25;0.138;19;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-17;25;0.142;20.5;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-17;25;0.14;19;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-17;25;0.148;18;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-22;30;0.142;20;;;;;5.7;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-22;30;0.147;19;;;;;5.6;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-22;30;0.13524;17.3;;;;;5.3;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-22;30;0.1425;19.6;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-22;30;0.144;20;;;;;6.3;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-22;30;0.12722;19.3;;;;;5.3;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-22;30;0.1245;18;;;;;5.3;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-22;30;0.1175;17.3;;;;;5.6;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-22;30;0.11316;18.3;;;;;5.3;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-24;32;0.141;19;;;;;5.6;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-24;32;0.1445;18.5;;;;;5.8;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-24;32;0.1375;18.7;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-28;36;0.1465;19.3;;;;;5.8;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-28;36;0.1265;18;;;;;6.1;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-28;36;0.1315;18.8;;;;;6.2;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-03-03;39;0.1315;20;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-03-03;39;0.115;18.5;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-03-03;39;0.1135;17;;;;;4.8;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0026;5.2;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0026;4.9;;;;;1.5;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0026;5.5;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0028;5.2;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0032;5.1;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0032;5.8;;;;;1.5;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0034;6;;;;;1.4;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0034;6;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0032;6;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0034;5.1;;;;;1.5;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0028;6.5;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0028;5.5;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0032;5.5;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.003;6;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0032;5.5;;;;;1.2;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0034;6;;;;;1.5;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0026;5.8;;;;;1.5;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0036;6.5;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-02-27;7;0.0034;6;;;;;1.3;;;;;;;;;;;;;;;;;P2;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-01;9;0.014;8.5;;;;;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-01;9;0.012;8.3;;;;;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-01;9;0.015;9;;;;;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-03;11;0.026;10.5;;;;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-03;11;0.026;10;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-03;11;0.0225;10;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-06;14;0.0715;13;;;;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-06;14;0.0685;12.6;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-06;14;0.063;13.8;;;;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-08;16;0.116;16;;;;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-08;16;0.107;16.2;;;;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-08;16;0.0965;15.8;;;;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-10;18;0.1915;22;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-10;18;0.185;19.8;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-10;18;0.189;20;;;;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-13;21;0.2385;21;;;;;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-13;21;0.241;22.3;;;;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-13;21;0.224;30;;;;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-15;23;0.226;22;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-15;23;0.233;20.5;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-15;23;0.2345;23;;;;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-17;25;0.2318;19.8;;;;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-17;25;0.2232;23.5;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-17;25;0.2432;22;;;;;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-20;28;0.2378;21;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-20;28;0.2454;24;;;;;5.8;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
AA;C1;P1;2023-02-20;2023-03-20;28;0.239;22.5;;;;;5;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-07;6;0.0058;6.7;;;;;1.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 80ml in 80ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-07;6;0.0056;7;;;;;1.6;;;;;;;;;;;;;;;;;;Feed with oatmeal 80ml in 80ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-07;6;0.0055;6.5;;;;;1.4;;;;;;;;;;;;;;;;;;Feed with oatmeal 80ml in 80ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-07;6;0.005;6;;;;;1.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 80ml in 80ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-07;6;0.0042;5.5;;;;;1.2;;;;;;;;;;;;;;;;;;Feed with oatmeal 80ml in 80ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-12;11;0.039;14.2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-12;11;0.033;12.5;;;;;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-12;11;0.052;14.8;;;;;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-15;14;0.079;15.5;;;;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-15;14;0.078;14.9;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-15;14;0.077;15.8;;;;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-17;16;0.152;23.5;;;;;5.3;;;;;;;;;;;;;;;;;;Added 500 more and feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-17;16;0.126;20.5;;;;;4.8;;;;;;;;;;;;;;;;;;Added 500 more and feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-17;16;0.13;17.5;;;;;4.6;;;;;;;;;;;;;;;;;;Added 500 more and feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-20;19;0.202;22.5;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-20;19;0.207;21.5;;;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-20;19;0.219;23;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-22;21;0.21533;21;;;;;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-22;21;0.2085;19.5;;;;;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-22;21;0.205;21.5;;;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-24;23;0.2045;26.2;;;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-24;23;0.1845;22.5;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-24;23;0.1965;23;;;;;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-27;26;0.192;21.5;;;;;6.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-27;26;0.189;22;;;;;5.3;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-02-27;26;0.1805;19.5;;;;;5.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-01;28;0.1635;18;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-01;28;0.155;19;;;;;5.1;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-01;28;0.163;20.5;;;;;5.9;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-03;30;0.1495;21;;;;;5.2;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-03;30;0.146;21.8;;;;;5.4;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
P;C1;P1;2023-02-01;2023-03-03;30;0.1455;20;;;;;5.4;;;;;;;;;;;;;;;;;PP;;;;;;;;;;;;;;;;;;;
